queue_id	canonical_field	registry_field	winning_rule_id	unresolved_reason	group_key	record_count	example_versions	suggested_resolution_kind
Q-289bdbddf0ac	virus_group	is_poliovirus	R-PARTITION-1	organism_name_does_not_determine_membership	Enterovirus C	1474	AB205395.1 AB206718.1 AB207266.1	decision
Q-28dcb5c8cfa7	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	Shoket Treatment Plant	2	KJ013422.1 KP004232.1	rule_parameter
Q-2ab336344f2e	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	central nervous system; brain	1	OP828752.1	decision
Q-2add32f606e0	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	patient	3	AM084223.1 AM084224.1 AM084225.1	rule_parameter
Q-2ae08888347a	poliovirus_classification	poliovirus_classification	R-CLASS-2	curated_value_outside_the_controlled_vocabulary	iVPDV	1	FJ517648.1	decision
Q-2b1a49f013f0	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	ophthalmic sampling offemale age 36 with hemorrhagic conjunctivitis	2	PQ867798.1 PQ867800.1	rule_parameter
Q-2b98863497d2	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	corneal swab	42	AB901473.1 AB901474.1 AB901475.1	rule_parameter
Q-2c6d8391f98e	virus_group	is_poliovirus	R-PARTITION-1	organism_name_does_not_determine_membership	Enterovirus sp.	4	KX941077.1 KX941080.1 KX941094.1	decision
Q-2faf62a51231	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	adolescent with conjunctivitis	1	JN228097.1	rule_parameter
Q-32f5223fc0e7	poliovirus_classification	poliovirus_classification	R-CLASS-2	no_serotype_in_organism_name_to_choose_a_reference	Human poliovirus 57/ROU/2008	2	FR715536.1 FR715550.1	decision
Q-33c565ab140b	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	confirmed acute flaccid myelitis (AFM)	6	MT081368.1 MT081373.1 MT081374.1	rule_parameter
Q-33e7a4fe4b58	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	Tnuvot Treatment Plant	2	KJ013453.1 KP004237.1	rule_parameter
Q-3459a893bf0f	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	rahat south treatment plant	1	KP004233.1	decision
Q-3492fd22d53a	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	0.7-year-old female patient with acute flaccid paralysis (AFP)	1	HM107835.1	rule_parameter
Q-358472c4eddc	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	bronchial wash	23	KY888025.1 MF159900.1 MF160050.1	rule_parameter
Q-35f97de0d1ee	sample_origin	origin_class	R-ORIGIN-2	no_host_or_specimen_evidence	ashdod treatment plant	1	KJ013441.1	decision
Q-369f2d137af0	sample_origin	origin_class	R-ORIGIN-2	no_host_or_specimen_evidence	case of enterovirus infection	2	DQ264282.1 DQ264353.1	decision
Q-371802f23992	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	stool sample from child 2 on day 149	1	JX179294.1	decision
Q-37ca40f27a6c	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	isolation source	1	KX910099.1	rule_parameter
Q-390a529dbaac	virus_type	virus_type	R-TYPE-2	organism_name_states_no_type	Enterovirus J	8	AF414373.2 NC_010415.1 NC_013695.1	decision
Q-3c7b849278c0	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	patient with acute hemorrhagic conjunctivitis	4	EF581884.1 EF581885.1 EF581886.1	rule_parameter
Q-3d615c27bbc1	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	Rahat South Treatment Plant	1	KP004233.1	rule_parameter
Q-3e12977d1e8a	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	kidney	1	MN896917.1	rule_parameter
Q-3e281567ce7a	poliovirus_classification	poliovirus_classification	R-CLASS-2	curated_value_outside_the_controlled_vocabulary	CHAT	1	AJ416942.1	decision
Q-3ebf2672cf7b	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	RS	1	MN245984.1	rule_parameter
Q-3ef4f3e24c92	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	clinical sample oropharyngeal mucosa	13	MK660465.1 MK660467.1 MK660468.1	decision
Q-40ac2f2b4086	virus_type	virus_type	R-TYPE-2	organism_name_states_no_type	enterovirus J108	1	AF414372.2	decision
Q-40dfdecf64a0	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	tel sheva treatment plant	1	KP004225.1	decision
Q-410b7854439b	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	taiba treatment plant	1	KJ013455.1	decision
Q-414b1ef50521	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	be'er sheva treatment plant	18	KJ013419.1 KJ013423.1 KJ013426.1	decision
Q-416089d87671	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	patient with acute flaccid paralysis	1	EF628420.1	rule_parameter
Q-42da5346a1eb	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	East Fork Lake	3	JF343824.1 JF343825.1 JF343826.1	rule_parameter
Q-431256b1e975	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	conjunctiva swab	62	JF742560.1 JF742561.1 JF742562.1	rule_parameter
Q-43d9e2a35c2c	sample_origin	origin_class	R-ORIGIN-2	no_host_or_specimen_evidence	ayalon ramle trunk line	1	KJ013463.1	decision
Q-44d627334e93	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	heart tissue	1	GU320075.1	rule_parameter
Q-44f6ae0d1230	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	environment	10	KY941933.1 KY941935.1 OQ417772.1	decision
Q-476a4590420f	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	acute flaccid paralysis patient	2	JN408584.1 JN408585.1	rule_parameter
Q-483fd8eff578	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	patient with acute flaccid paralysis (AFP)	1	KF495604.1	rule_parameter
Q-48c7a5632dd8	sample_origin	origin_class	R-ORIGIN-2	no_host_or_specimen_evidence	tel sheva treatment plant	1	KP004225.1	decision
Q-4909fcf15859	sample_origin	origin_class	R-ORIGIN-2	no_host_or_specimen_evidence	case of tonsilitis	2	DQ264254.1 DQ264325.1	decision
Q-499181033252	sample_origin	origin_class	R-ORIGIN-2	no_host_or_specimen_evidence		2680	A01868.1 A03852.1 A03999.1	decision
Q-49e04718b018	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	stool sample from child 2 on day 142	1	JX179283.1	decision
Q-4ad1436e398f	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	immunodeficient vaccine-derived paralytic polio case	12	ON207141.1 ON207142.1 ON207143.1	rule_parameter
Q-4be88471237b	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	clinical sample stool	16	MK660464.1 MK660466.1 MK660469.1	decision
Q-4d91c7ac68e8	virus_type	virus_type	R-TYPE-2	organism_name_states_no_type	unidentified poliovirus	7	A03999.1 A13892.1 A16105.1	decision
Q-4e0d29222584	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	fecal sample	16	KC848180.1 OR538731.1 OR538732.1	decision
Q-4e60952fa759	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	0.6-year-old male patient with acute flaccid paralysis (AFP)	1	HM107833.1	rule_parameter
Q-4f3cb8130dbc	poliovirus_classification	poliovirus_classification	R-CLASS-2	no_serotype_in_organism_name_to_choose_a_reference	Human poliovirus 30/ROU/2008	2	FR715534.1 FR715548.1	decision
Q-5173345e8cab	virus_type	virus_type	R-TYPE-2	organism_name_states_no_type	Bovine enterovirus type 1	1	JX538126.1	decision
Q-51f1bd630cb6	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	feces	398	AB162759.1 DQ411554.1 DQ411555.1	decision
Q-535a22adf5e0	sample_origin	origin_class	R-ORIGIN-2	no_host_or_specimen_evidence	shoket treatment plant	2	KJ013422.1 KP004232.1	decision
Q-562a9813c96e	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	Ayalon Treatment Plant	4	KJ013451.1 KJ013452.1 KJ013456.1	rule_parameter
Q-565badb55c5e	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	Ayalon Lod Trunk Line	2	KJ013462.1 KJ013468.1	rule_parameter
Q-5725ea17fb1b	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	case of tonsilitis	2	DQ264254.1 DQ264325.1	rule_parameter
Q-572d0bea6c74	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	clinical sample from acute flaccid paralysis patient	8	MT271232.1 MT271233.1 MT271234.1	rule_parameter
Q-57420346d5df	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	ashdod treatment plant	1	KJ013441.1	decision
Q-58f677b9e1d2	virus_type	virus_type	R-TYPE-2	organism_name_states_no_type	Enterovirus 103	4	EU194492.1 EU194518.1 EU194543.1	decision
Q-597e66293859	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	rahat treatment plant	18	KJ013420.1 KJ013421.1 KJ013425.1	decision
Q-5a9589c637e3	sample_origin	origin_class	R-ORIGIN-2	no_host_or_specimen_evidence	taiba treatment plant	1	KJ013455.1	decision
Q-5afa05baaf47	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	stool sample from child 1 on day 222	1	JX179292.1	decision
Q-5b83cebcb9a4	virus_group	is_poliovirus	R-PARTITION-1	organism_name_does_not_determine_membership	Human enterovirus	95	JX538226.1 KF453625.1 KF453626.1	decision
Q-5ec4af10cf22	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	NPA	9	MK089787.1 MN245990.1 MN245992.1	rule_parameter
Q-5f1ca2ba0650	virus_type	virus_type	R-TYPE-2	organism_name_states_no_type	Enterovirus J115	17	JX537988.1 JX537989.1 JX537990.1	decision
Q-5f63804cc733	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	clinical specimen	3	EU703812.1 EU703813.1 EU703814.1	rule_parameter
Q-601e52564eb2	sample_origin	origin_class	R-ORIGIN-2	no_host_or_specimen_evidence	healthy individual	29	AY278549.1 AY278550.1 AY278552.1	decision
Q-602686144457	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	paralytic polio case	165	AY278553.1 JN812608.1 JN812609.1	rule_parameter
Q-6366c17f2be7	virus_type	virus_type	R-TYPE-2	organism_name_states_no_type	Homo sapiens	2	E01570.1 E01572.1	decision
Q-64a64d83cc06	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	central nervous system; brain	1	OP828752.1	rule_parameter
Q-68849e58c121	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	acute hemorrhagic conjunctivitis	52	DQ434848.1 DQ434849.1 DQ434850.1	rule_parameter
Q-6888cd576af0	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	clinical sample	38	MT937026.1 MT937027.1 MT937028.1	rule_parameter
Q-69c8cc117296	poliovirus_classification	poliovirus_classification	R-CLASS-2	no_serotype_in_organism_name_to_choose_a_reference	Human poliovirus sp.	11	M30211.1 M30212.1 M30214.1	decision
Q-6a034055f100	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	pericardial fluid	1	MN896906.1	rule_parameter
Q-6a57d947aa0c	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	healthy individual	29	AY278549.1 AY278550.1 AY278552.1	rule_parameter
Q-6ac5a074e851	sample_origin	origin_class	R-ORIGIN-2	no_host_or_specimen_evidence	arad treatment plant	2	KJ013450.1 KP004236.1	decision
Q-6bec97f6b59c	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	ar'ara treatment plant	3	KJ013442.1 KJ013443.1 KJ013467.1	decision
Q-6c44b4e9c6fd	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	cell culture	31	MN240491.1 MN240492.1 MN240493.1	rule_parameter
Q-6e179a3e80df	virus_type	virus_type	R-TYPE-2	organism_name_states_no_type	Human enterovirus Ningbo3-02	1	AY876912.1	decision
Q-6e5dc838a793	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	stool specimen from an immunodeficient infant	14	AJ783784.1 AJ783787.1 AJ783788.1	decision
Q-6f3c64ba32a3	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	broncho/endotrachal aspirate	1	MN481403.1	rule_parameter
Q-6f4e05aea8c2	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	stool specimen	40	AJ871589.1 AJ871590.1 AJ871591.1	decision
Q-6f904eaa1710	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	conjuctival swab	11	OR610291.1 OR610292.1 OR610293.1	rule_parameter
Q-6fc775673105	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	SP	2	MN246008.1 MN246040.1	rule_parameter
Q-70d2dcae171e	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	Kiryat Gat Treatment Plant	7	KJ013424.1 KJ013440.1 KJ013446.1	rule_parameter
Q-7142683d809c	sample_origin	origin_class	R-ORIGIN-2	no_host_or_specimen_evidence	segev shalom west trunk line	1	KP004244.1	decision
Q-71a1dbb45f14	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	envirnmental sample	1	KM225628.1	rule_parameter
Q-72b29ee90590	poliovirus_classification	poliovirus_classification	R-CLASS-2	too_little_sequence_compared_to_measure_divergence		1409	A01868.1 A03852.1 A07258.1	decision
Q-74758a15c2b4	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	VAPP patient on day 60 from paralysis onset	1	AY649328.1	rule_parameter
Q-75203860b899	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	VAPP patient on day 3 from paralysis onset	1	AY649327.1	rule_parameter
Q-7546b2e0c7c4	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	Horashim Tretment Plant	2	KJ013459.1 KJ013460.1	rule_parameter
Q-7591f1d7490a	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	acute hemorrhagic conjunctivitis patient	43	EF591117.1 EF591118.1 EF591119.1	rule_parameter
Q-759bf7bc900f	virus_type	virus_type	R-TYPE-2	organism_name_states_no_type	Human poliovirus 79/ROU/2008	2	FR715542.1 FR715556.1	decision
Q-75c00a396512	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	acute enterocolitis case	5	MG212441.1 MG212442.1 MG212443.1	rule_parameter
Q-763d21ca61c6	poliovirus_classification	poliovirus_classification	R-CLASS-2	no_serotype_in_organism_name_to_choose_a_reference	Human poliovirus 40/ROU/2008	2	FR715535.1 FR715549.1	decision
Q-76ae39bcf8cb	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	stool sample collected one week after children received one dose of oral poliovirus vaccine (opv)	1	DQ522896.1	decision
Q-773e788c4c32	sample_origin	origin_class	R-ORIGIN-2	no_host_or_specimen_evidence	tnuvot treatment plant	2	KJ013453.1 KP004237.1	decision
Q-784937b7c726	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	cerebrospinal fluid (csf)	2	KX011399.1 KX011400.1	decision
Q-78a11d7d637d	sample_origin	origin_class	R-ORIGIN-2	no_host_or_specimen_evidence	ayalon lod trunk line	2	KJ013462.1 KJ013468.1	decision
Q-78cd80ae3255	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	madison lake	2	JF343827.1 JF343828.1	decision
Q-799261b31d8b	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	conjunctival swabs	47	EU391662.1 EU391663.1 EU391664.1	rule_parameter
Q-7a8eb749249e	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	acute flaccid paralysis	26	MT212610.1 MT212611.1 MT212612.1	rule_parameter
Q-7b4ed255258b	sample_origin	origin_class	R-ORIGIN-2	no_host_or_specimen_evidence	vapp case	14	DQ264248.1 DQ264262.1 DQ264278.1	decision
Q-7b539130824c	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	acute flaccid paralysis (AFP) patient	1	OP856893.1	rule_parameter
Q-7be0962b471b	sample_origin	origin_class	R-ORIGIN-2	no_host_or_specimen_evidence	contact	4	EF634009.1 EF634010.1 EF634011.1	decision
Q-7c3cdb91633c	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	TC	1	MG976581.1	rule_parameter
Q-7d08fac472b2	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	faeces	1	AJ634678.1	decision
Q-7d76360fd051	virus_type	virus_type	R-TYPE-2	organism_name_states_no_type	enterovirus G2	1	JX219532.1	decision
Q-7dfd0717eeb6	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	shoket treatment plant	2	KJ013422.1 KP004232.1	decision
Q-7ea324c26c63	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	total nucleic acid	3	MF159679.1 MF159767.1 MF159768.1	rule_parameter
Q-80f1cc73b3cb	sample_origin	origin_class	R-ORIGIN-2	no_host_or_specimen_evidence	environmental sample	13	PX725671.1 PX725672.1 PX725673.1	decision
Q-82d4596bbcbe	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	stool specimen from an immunocompetent infant	4	AJ783783.1 AJ783793.1 AJ783794.1	decision
Q-82d7c067d992	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	Ayalon Ramle Trunk Line	1	KJ013463.1	rule_parameter
Q-82d865d86a9c	virus_group	is_poliovirus	R-PARTITION-1	organism_name_does_not_determine_membership	Human enterovirus Ningbo3-02	1	AY876912.1	decision
Q-83a4137200fd	virus_type	virus_type	R-TYPE-2	organism_name_states_no_type	Enterovirus B	245	AB268243.1 AB268250.1 AB268275.1	decision
Q-83e036faaed0	sample_origin	origin_class	R-ORIGIN-2	no_host_or_specimen_evidence	whole cell lysate	14	DQ787783.1 DQ787784.1 DQ787785.1	decision
Q-84ab2aa3abca	sample_origin	origin_class	R-ORIGIN-2	no_host_or_specimen_evidence	environment	8	OQ417772.1 OQ417773.1 OQ417774.1	decision
Q-85a8e90b24ee	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	ophthalmic sampling offemale age 33 with hemorrhagic conjunctivitis	1	PQ867801.1	rule_parameter
Q-87038f41c145	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	vapp case	14	DQ264248.1 DQ264262.1 DQ264278.1	decision
Q-87f1c46c49ec	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	oysters	3	AY205253.1 AY205254.1 AY205255.1	rule_parameter
Q-887a8cb3d831	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	VAPP patient on day 78 from paralysis onset	1	AY649329.1	rule_parameter
Q-88f6461aa233	virus_type	virus_type	R-TYPE-2	organism_name_states_no_type	Baboon enterovirus	7	JX537987.1 JX538019.1 JX538020.1	decision
Q-8900dacd4e51	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	vaccine-associated paralytic polio case	20	MG212430.1 MG212432.1 MG212445.1	rule_parameter
Q-89556374b8f2	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	lesion swab/scraping	1	MK836128.1	rule_parameter
Q-89c66f7e1dd3	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	clinical sample; feces	1	MK028134.1	decision
Q-8a07fcb4115f	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	L20B cell	10	FJ859183.1 FJ859184.1 FJ859185.1	rule_parameter
Q-8a0b10ac47dc	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	cecum content	1	MW928848.1	rule_parameter
Q-8c941c6018b2	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	ophthalmic sampling	11	PP548237.1 PP548238.1 PP548239.1	rule_parameter
