decision_id	decision_type	subject_key	accession	field_name	new_value	reason	evidence_reference	confirmed_by	source_artifact	status	effective_from	effective_through	notes
D-c2bd6d663637	date_override	KP004228	KP004228	collection_year_curated	2013	GenBank /collection_date=06-Jul-1909 is a submitter error: isolate pv1_10065-s_ISR13 encodes ISR13 and the source paper is “...wild poliovirus type 1 during sustained transmission... Israel 2013”. Year 2013 is evidenced twice; the day/month are not corroborated, so ship year precision only. Verbatim 06-Jul-1909 retained in final/source/.	isolate ID + reference title (PMID 25550350)	Mike	date_review_overrides.csv	active			
D-38186b4a9508	date_override	KP004229	KP004229	collection_year_curated	2013	GenBank /collection_date=06-Jul-1909 is a submitter error: isolate pv1_12001-s_ISR13 encodes ISR13 and the source paper is “...wild poliovirus type 1 during sustained transmission... Israel 2013”. Year 2013 is evidenced twice; the day/month are not corroborated, so ship year precision only. Verbatim 06-Jul-1909 retained in final/source/.	isolate ID + reference title (PMID 25550350)	Mike	date_review_overrides.csv	active			
D-97d9765a4587	date_override	M37321	M37321	collection_year_curated	1937	P3/Leon isolated 1937 (well-known); Leon 970 lab pool.	Leon strain literature	Mike	date_review_overrides.csv	active			
D-0aa35aa9619c	isolate_linkage_approval	AJ699401	AJ699401	serotype	1		Cross-batch weak key P95 (AJ vs AJ, non-adjacent accessions). Verified GENUINE via identical GenBank source annotation on both records: geo_loc_name=South Africa:Gauteng, isolation_source=stool specimen from (an) immunodeficient infant, host=Homo sapiens. Same physical isolate P95 (South-African immunodeficient P-series). 5UTR fragment inherits VP1 sibling Sabin-like.		isolate_linkage_manual_verified.csv	active			linked_sibling=AJ783802
D-baa36784a906	isolate_linkage_approval	AJ699401	AJ699401	verified_classification	Sabin-like		Cross-batch weak key P95 (AJ vs AJ, non-adjacent accessions). Verified GENUINE via identical GenBank source annotation on both records: geo_loc_name=South Africa:Gauteng, isolation_source=stool specimen from (an) immunodeficient infant, host=Homo sapiens. Same physical isolate P95 (South-African immunodeficient P-series). 5UTR fragment inherits VP1 sibling Sabin-like.		isolate_linkage_manual_verified.csv	active			linked_sibling=AJ783802
D-1bbcdc11adec	isolate_linkage_approval	EU598475	EU598475	serotype	2		Cross-batch weak key V14 (EU vs DQ deposit series). Verified GENUINE via GenBank source: both geo_loc_name=Greece, Sabin/vaccine V-series (Markoulatos Greek Sabin-derived series, decision-log D-L1). Same physical isolate V14. 5UTR fragment inherits VP1 sibling Sabin-like.		isolate_linkage_manual_verified.csv	active			linked_sibling=DQ787796
D-6a863ff090fd	isolate_linkage_approval	EU598475	EU598475	verified_classification	Sabin-like		Cross-batch weak key V14 (EU vs DQ deposit series). Verified GENUINE via GenBank source: both geo_loc_name=Greece, Sabin/vaccine V-series (Markoulatos Greek Sabin-derived series, decision-log D-L1). Same physical isolate V14. 5UTR fragment inherits VP1 sibling Sabin-like.		isolate_linkage_manual_verified.csv	active			linked_sibling=DQ787796
D-c38ea2d38ce3	legacy_classification_override	AJ416942	AJ416942	classification	CHAT	miscoded. Corrected via http://www.ncbi.nlm.nih.gov/pubmed/11991962			legacy_accession_classification_overrides.csv	active			
D-15d6f5f42822	legacy_classification_override	CS406436	CS406436	classification	engineered	miscoded. This is codon-deoptimized MEF1: https://encrypted.google.com/patents/WO2006042156A9?cl=en			legacy_accession_classification_overrides.csv	superseded			superseded 2026-07-29: measured 4 nt/6621 (CS406436), 4 nt/7439 (CS406482) and 6 nt/7439 (CS406483) from MEF1 AY238473 by pairwise global alignment of the shipped sequences, which rules out codon deoptimization; these are parental MEF1 deposits within patent WO2006042156
D-2095544286a0	legacy_classification_override	CS406482	CS406482	classification	engineered	miscoded. This is codon-deoptimized MEF1: https://encrypted.google.com/patents/WO2006042156A9?cl=en			legacy_accession_classification_overrides.csv	superseded			superseded 2026-07-29: measured 4 nt/6621 (CS406436), 4 nt/7439 (CS406482) and 6 nt/7439 (CS406483) from MEF1 AY238473 by pairwise global alignment of the shipped sequences, which rules out codon deoptimization; these are parental MEF1 deposits within patent WO2006042156
D-b97bff5037f5	legacy_classification_override	CS406483	CS406483	classification	engineered	miscoded. This is codon-deoptimized MEF1: https://encrypted.google.com/patents/WO2006042156A9?cl=en			legacy_accession_classification_overrides.csv	superseded			superseded 2026-07-29: measured 4 nt/6621 (CS406436), 4 nt/7439 (CS406482) and 6 nt/7439 (CS406483) from MEF1 AY238473 by pairwise global alignment of the shipped sequences, which rules out codon deoptimization; these are parental MEF1 deposits within patent WO2006042156
D-76ece1bbec32	legacy_classification_override	DQ205099	DQ205099	classification	engineered	miscoded. This is codon-deoptimized Sabin2: https://encrypted.google.com/patents/WO2006042156A9?cl=en			legacy_accession_classification_overrides.csv	active			annotated 2026-07-29, label upheld and status unchanged: the recorded mechanism is falsified but the engineered call is not. Measured 3 nt/7439 (0.040%) from Sabin 2 AY184220, differences A2616G/A3303T/T5640A unclustered across P1 and P3, which rules out capsid codon deoptimization — that rewrites synonymous codons wholesale within ~2.6 kb. GenBank division is VRL rather than PAT: this is CDC clone S2R9, source qualifier note=infectious clone, the parental control of Burns et al. 2006 J Virol 80:3259 (PMID 16537593), the study patent WO2006042156 derives from — not one of its deoptimized constructs. An infectious cDNA clone is a construct, so canonical engineered_or_construct=TRUE stands and no shipped value changes
D-ab83ea86c484	legacy_classification_override	EF682346	EF682346	classification	iVDPV	amish immunocompromised infant identified from fig 1 of https://academic.oup.com/jid/article-lookup/doi/10.1086/596065			legacy_accession_classification_overrides.csv	retired			retired: same assertion is governed by manual_review_overrides.csv, which records the identical value 'iVDPV'
D-b6e842d59926	legacy_classification_override	EF682347	EF682347	classification	iVDPV	amish immunocompromised infant identified from fig 1 of https://academic.oup.com/jid/article-lookup/doi/10.1086/596062			legacy_accession_classification_overrides.csv	retired			retired: same assertion is governed by manual_review_overrides.csv, which records the identical value 'iVDPV'
D-b091f6c3a14c	legacy_classification_override	EF682348	EF682348	classification	iVDPV	amish immunocompromised infant identified from fig 1 of https://academic.oup.com/jid/article-lookup/doi/10.1086/596064			legacy_accession_classification_overrides.csv	retired			retired: same assertion is governed by manual_review_overrides.csv, which records the identical value 'iVDPV'
D-12a053bed65e	legacy_classification_override	EF682349	EF682349	classification	iVDPV	amish immunocompromised infant identified from fig 1 of https://academic.oup.com/jid/article-lookup/doi/10.1086/596057			legacy_accession_classification_overrides.csv	retired			retired: same assertion is governed by manual_review_overrides.csv, which records the identical value 'iVDPV'
D-aaac2984ef01	legacy_classification_override	EF682350	EF682350	classification	iVDPV	amish immunocompromised infant identified from fig 1 of https://academic.oup.com/jid/article-lookup/doi/10.1086/596059			legacy_accession_classification_overrides.csv	retired			retired: same assertion is governed by manual_review_overrides.csv, which records the identical value 'iVDPV'
D-704ff9b2103b	legacy_classification_override	EF682351	EF682351	classification	iVDPV	amish immunocompromised infant identified from fig 1 of https://academic.oup.com/jid/article-lookup/doi/10.1086/596058			legacy_accession_classification_overrides.csv	retired			retired: same assertion is governed by manual_review_overrides.csv, which records the identical value 'iVDPV'
D-1bf567017a63	legacy_classification_override	EF682352	EF682352	classification	iVDPV	amish immunocompromised infant identified from fig 1 of https://academic.oup.com/jid/article-lookup/doi/10.1086/596052			legacy_accession_classification_overrides.csv	retired			retired: same assertion is governed by manual_review_overrides.csv, which records the identical value 'iVDPV'
D-510309cf661c	legacy_classification_override	EF682353	EF682353	classification	iVDPV	amish immunocompromised infant identified from fig 1 of https://academic.oup.com/jid/article-lookup/doi/10.1086/596055			legacy_accession_classification_overrides.csv	retired			retired: same assertion is governed by manual_review_overrides.csv, which records the identical value 'iVDPV'
D-df2483f81fb0	legacy_classification_override	EF682354	EF682354	classification	iVDPV	amish immunocompromised infant identified from fig 1 of https://academic.oup.com/jid/article-lookup/doi/10.1086/596053			legacy_accession_classification_overrides.csv	retired			retired: same assertion is governed by manual_review_overrides.csv, which records the identical value 'iVDPV'
D-813c2b272330	legacy_classification_override	EF682356	EF682356	classification	iVDPV	amish immunocompromised infant identified from fig 1 of https://academic.oup.com/jid/article-lookup/doi/10.1086/596060			legacy_accession_classification_overrides.csv	retired			retired: same assertion is governed by manual_review_overrides.csv, which records the identical value 'iVDPV'
D-d1e51b53e978	legacy_classification_override	EF682357	EF682357	classification	iVDPV	amish immunocompromised infant identified from fig 1 of https://academic.oup.com/jid/article-lookup/doi/10.1086/596063			legacy_accession_classification_overrides.csv	retired			retired: same assertion is governed by manual_review_overrides.csv, which records the identical value 'iVDPV'
D-20f108cc1bd8	legacy_classification_override	EF682358	EF682358	classification	iVDPV	amish immunocompromised infant identified from fig 1 of https://academic.oup.com/jid/article-lookup/doi/10.1086/596061			legacy_accession_classification_overrides.csv	retired			retired: same assertion is governed by manual_review_overrides.csv, which records the identical value 'iVDPV'
D-b7ee05896eef	legacy_classification_override	EF682359	EF682359	classification	iVDPV	amish immunocompromised infant identified from fig 1 of https://academic.oup.com/jid/article-lookup/doi/10.1086/596054			legacy_accession_classification_overrides.csv	retired			retired: same assertion is governed by manual_review_overrides.csv, which records the identical value 'iVDPV'
D-0eead42d3d8b	legacy_classification_override	FJ517648	FJ517648	classification	iVPDV	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2655595/			legacy_accession_classification_overrides.csv	active			
D-dae55690beb9	legacy_classification_override	FJ769378	FJ769378	classification	cVDPV	miscoded. Corrected via https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4658552/			legacy_accession_classification_overrides.csv	active			
D-214358650a30	legacy_classification_override	FJ769379	FJ769379	classification	cVDPV	miscoded. Corrected via https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4658552/			legacy_accession_classification_overrides.csv	active			
D-020475e1245d	legacy_classification_override	FJ769380	FJ769380	classification	cVDPV	miscoded. Corrected via https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4658552/			legacy_accession_classification_overrides.csv	active			
D-877bbf6f4f0b	legacy_classification_override	FJ769381	FJ769381	classification	cVDPV	miscoded. Corrected via https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4658552/			legacy_accession_classification_overrides.csv	active			
D-b26339680f36	legacy_classification_override	FJ769382	FJ769382	classification	cVDPV	miscoded. Corrected via https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4658552/			legacy_accession_classification_overrides.csv	active			
D-3325ad53ae59	legacy_classification_override	FJ769383	FJ769383	classification	cVDPV	miscoded. Corrected via https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4658552/			legacy_accession_classification_overrides.csv	active			
D-86c010643031	legacy_classification_override	FJ769384	FJ769384	classification	cVDPV	miscoded. Corrected via https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4658552/			legacy_accession_classification_overrides.csv	active			
D-72306622c45e	legacy_classification_override	FJ769385	FJ769385	classification	cVDPV	miscoded. Corrected via https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4658552/			legacy_accession_classification_overrides.csv	active			
D-29d7d225a37a	legacy_classification_override	KR259356	KR259356	classification	iVDPV	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4593449/			legacy_accession_classification_overrides.csv	active			
D-ca1bf4cc485e	legacy_classification_override	KR259357	KR259357	classification	iVDPV	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4593449/			legacy_accession_classification_overrides.csv	active			
D-43a24af2e79e	legacy_classification_override	KX162685	KX162685	classification	cVDPV	incomplete info in database. Clearly cVDPV2 by tree.			legacy_accession_classification_overrides.csv	active			
D-2ee5d8713a03	manual_override	A37539	A37539	canonical_reference	FALSE	Sequence 5 from Patent WO9405785 (multicistronic expression unit patent, clone=PGEM). Only 628nt, exactly Mahoney nt 1-628 (1nt/628 = 0.16%, pure 5'UTR/IRES) cloned into an expression vector -- not an intact virus or a reference-genome re-deposit. REFERENCE_FAMILY_CLASS's Mahoney->wild rule fired blindly on a fragment; wild misleadingly implies a field/reference poliovirus identity. origin_class/sampling_frame (non-human/engineered-lab) already correct from GenBank extraction; only classification needed the fix.	c1_construct_reference_resolution.md	Mike	manual_review_overrides.csv	active			
D-5c21fb395ce3	manual_override	A37539	A37539	classification	engineered/lab	Sequence 5 from Patent WO9405785 (multicistronic expression unit patent, clone=PGEM). Only 628nt, exactly Mahoney nt 1-628 (1nt/628 = 0.16%, pure 5'UTR/IRES) cloned into an expression vector -- not an intact virus or a reference-genome re-deposit. REFERENCE_FAMILY_CLASS's Mahoney->wild rule fired blindly on a fragment; wild misleadingly implies a field/reference poliovirus identity. origin_class/sampling_frame (non-human/engineered-lab) already correct from GenBank extraction; only classification needed the fix.	c1_construct_reference_resolution.md	Mike	manual_review_overrides.csv	active			
D-df778b030be7	manual_override	A37539	A37539	reference_label	Mahoney	Sequence 5 from Patent WO9405785 (multicistronic expression unit patent, clone=PGEM). Only 628nt, exactly Mahoney nt 1-628 (1nt/628 = 0.16%, pure 5'UTR/IRES) cloned into an expression vector -- not an intact virus or a reference-genome re-deposit. REFERENCE_FAMILY_CLASS's Mahoney->wild rule fired blindly on a fragment; wild misleadingly implies a field/reference poliovirus identity. origin_class/sampling_frame (non-human/engineered-lab) already correct from GenBank extraction; only classification needed the fix.	c1_construct_reference_resolution.md	Mike	manual_review_overrides.csv	active			
D-08366c8e94a3	manual_override	A37539	A37539	serotype	1	Sequence 5 from Patent WO9405785 (multicistronic expression unit patent, clone=PGEM). Only 628nt, exactly Mahoney nt 1-628 (1nt/628 = 0.16%, pure 5'UTR/IRES) cloned into an expression vector -- not an intact virus or a reference-genome re-deposit. REFERENCE_FAMILY_CLASS's Mahoney->wild rule fired blindly on a fragment; wild misleadingly implies a field/reference poliovirus identity. origin_class/sampling_frame (non-human/engineered-lab) already correct from GenBank extraction; only classification needed the fix.	c1_construct_reference_resolution.md	Mike	manual_review_overrides.csv	active			
D-cf28af7f286a	manual_override	A37564	A37564	canonical_reference	FALSE	Sequence 5 from Patent WO9405786 (bicistronic PDGF-AB expression-vector patent, clone=PGEM). Same situation as A37539: 628nt, exactly Mahoney nt 1-628 (1nt/628 = 0.16%, pure 5'UTR/IRES) in an expression vector, not an intact virus. Same fix.	c1_construct_reference_resolution.md	Mike	manual_review_overrides.csv	active			
D-07dbe82cfa03	manual_override	A37564	A37564	classification	engineered/lab	Sequence 5 from Patent WO9405786 (bicistronic PDGF-AB expression-vector patent, clone=PGEM). Same situation as A37539: 628nt, exactly Mahoney nt 1-628 (1nt/628 = 0.16%, pure 5'UTR/IRES) in an expression vector, not an intact virus. Same fix.	c1_construct_reference_resolution.md	Mike	manual_review_overrides.csv	active			
D-2b02aa752950	manual_override	A37564	A37564	reference_label	Mahoney	Sequence 5 from Patent WO9405786 (bicistronic PDGF-AB expression-vector patent, clone=PGEM). Same situation as A37539: 628nt, exactly Mahoney nt 1-628 (1nt/628 = 0.16%, pure 5'UTR/IRES) in an expression vector, not an intact virus. Same fix.	c1_construct_reference_resolution.md	Mike	manual_review_overrides.csv	active			
D-92bf80087757	manual_override	A37564	A37564	serotype	1	Sequence 5 from Patent WO9405786 (bicistronic PDGF-AB expression-vector patent, clone=PGEM). Same situation as A37539: 628nt, exactly Mahoney nt 1-628 (1nt/628 = 0.16%, pure 5'UTR/IRES) in an expression vector, not an intact virus. Same fix.	c1_construct_reference_resolution.md	Mike	manual_review_overrides.csv	active			
D-b0461698b189	manual_override	AB180058	AB180058	classification	wild	Reconciliation allowlist (philippines_regional_wild_panel). Circulation of type 1 vaccine-derived poliovirus in the		Mike	vdpv_wild_reconciliation.csv	active			strain=5380-93
D-8bf2ac69d95d	manual_override	AB180059	AB180059	classification	wild	Reconciliation allowlist (philippines_regional_wild_panel). Circulation of type 1 vaccine-derived poliovirus in the		Mike	vdpv_wild_reconciliation.csv	active			strain=PJ7/92
D-ebf6b11ff611	manual_override	AB180060	AB180060	classification	wild	Reconciliation allowlist (philippines_regional_wild_panel). Circulation of type 1 vaccine-derived poliovirus in the		Mike	vdpv_wild_reconciliation.csv	active			strain=PJ5/92
D-8ec3ab7c6f7e	manual_override	AB180061	AB180061	classification	wild	Reconciliation allowlist (philippines_regional_wild_panel). Circulation of type 1 vaccine-derived poliovirus in the		Mike	vdpv_wild_reconciliation.csv	active			strain=NV102/92
D-9a872b404014	manual_override	AB180062	AB180062	classification	wild	Reconciliation allowlist (philippines_regional_wild_panel). Circulation of type 1 vaccine-derived poliovirus in the		Mike	vdpv_wild_reconciliation.csv	active			strain=C113/93
D-68064548b6f1	manual_override	AB180063	AB180063	classification	wild	Reconciliation allowlist (philippines_regional_wild_panel). Circulation of type 1 vaccine-derived poliovirus in the		Mike	vdpv_wild_reconciliation.csv	active			strain=C118/92
D-5f1ba934a2cf	manual_override	AB180064	AB180064	classification	wild	Reconciliation allowlist (philippines_regional_wild_panel). Circulation of type 1 vaccine-derived poliovirus in the		Mike	vdpv_wild_reconciliation.csv	active			strain=C120/92
D-18e1d2b52cf5	manual_override	AB180065	AB180065	classification	wild	Reconciliation allowlist (philippines_regional_wild_panel). Circulation of type 1 vaccine-derived poliovirus in the		Mike	vdpv_wild_reconciliation.csv	active			strain=C121/90
D-c1499652160e	manual_override	AB180066	AB180066	classification	wild	Reconciliation allowlist (philippines_regional_wild_panel). Circulation of type 1 vaccine-derived poliovirus in the		Mike	vdpv_wild_reconciliation.csv	active			strain=NV134/93
D-a2427a51977b	manual_override	AB180067	AB180067	classification	wild	Reconciliation allowlist (philippines_regional_wild_panel). Circulation of type 1 vaccine-derived poliovirus in the		Mike	vdpv_wild_reconciliation.csv	active			strain=CAM122/92
D-a10fcbb6a7a4	manual_override	AB180068	AB180068	classification	wild	Reconciliation allowlist (philippines_regional_wild_panel). Circulation of type 1 vaccine-derived poliovirus in the		Mike	vdpv_wild_reconciliation.csv	active			strain=Lao11/96
D-18cb08c18383	manual_override	AB180069	AB180069	classification	wild	Reconciliation allowlist (philippines_regional_wild_panel). Circulation of type 1 vaccine-derived poliovirus in the		Mike	vdpv_wild_reconciliation.csv	active			strain=3427QUI/99
D-1f7acd9ba1e7	manual_override	AB180070	AB180070	classification	iVDPV	superseded by the same registry's later cVDPV call; retained because the migration regenerates from source and would otherwise drop the earlier assertion entirely	PMID:12404204	Mike	manual_review_overrides.csv	superseded			superseded 2026-07-30 by classification=cVDPV (PMID:15564462) in the same registry; carried forward by SUPERSEDED_CARRY_FORWARD so the reversal stays legible
D-cc4ae11498ed	manual_override	AB180070	AB180070	classification	cVDPV	Philippines 2001 type-1 cVDPV outbreak (isolate Luzon-01-*/Mindanao-01-*, VP1 3.09-3.53% from Sabin 1). CORRECTION 2026-07-29: this row previously read iVDPV sourced to PMID:12404204 with the note “Taiwan iVDPV; PID patient” -- wrong paper, wrong country, wrong class. The record's own paper is titled “Circulation of type 1 vaccine-derived poliovirus in the Philippines in 2001” (PMID:15564462); circulating, not immunodeficiency-associated. The 12 wild PV1 comparators in the same deposit (AB180058-069) keep their sequence-derived wild call.	PMID:15564462	Mike	manual_review_overrides.csv	active			
D-ac0d51e7b702	manual_override	AB180071	AB180071	classification	iVDPV	superseded by the same registry's later cVDPV call; retained because the migration regenerates from source and would otherwise drop the earlier assertion entirely	PMID:12404204	Mike	manual_review_overrides.csv	superseded			superseded 2026-07-30 by classification=cVDPV (PMID:15564462) in the same registry; carried forward by SUPERSEDED_CARRY_FORWARD so the reversal stays legible
D-afdcb6e5cd32	manual_override	AB180071	AB180071	classification	cVDPV	Philippines 2001 type-1 cVDPV outbreak (isolate Luzon-01-*/Mindanao-01-*, VP1 3.09-3.53% from Sabin 1). CORRECTION 2026-07-29: this row previously read iVDPV sourced to PMID:12404204 with the note “Taiwan iVDPV; PID patient” -- wrong paper, wrong country, wrong class. The record's own paper is titled “Circulation of type 1 vaccine-derived poliovirus in the Philippines in 2001” (PMID:15564462); circulating, not immunodeficiency-associated. The 12 wild PV1 comparators in the same deposit (AB180058-069) keep their sequence-derived wild call.	PMID:15564462	Mike	manual_review_overrides.csv	active			
D-1ffc596e5e37	manual_override	AB180072	AB180072	classification	iVDPV	superseded by the same registry's later cVDPV call; retained because the migration regenerates from source and would otherwise drop the earlier assertion entirely	PMID:12404204	Mike	manual_review_overrides.csv	superseded			superseded 2026-07-30 by classification=cVDPV (PMID:15564462) in the same registry; carried forward by SUPERSEDED_CARRY_FORWARD so the reversal stays legible
D-8b558c31d783	manual_override	AB180072	AB180072	classification	cVDPV	Philippines 2001 type-1 cVDPV outbreak (isolate Luzon-01-*/Mindanao-01-*, VP1 3.09-3.53% from Sabin 1). CORRECTION 2026-07-29: this row previously read iVDPV sourced to PMID:12404204 with the note “Taiwan iVDPV; PID patient” -- wrong paper, wrong country, wrong class. The record's own paper is titled “Circulation of type 1 vaccine-derived poliovirus in the Philippines in 2001” (PMID:15564462); circulating, not immunodeficiency-associated. The 12 wild PV1 comparators in the same deposit (AB180058-069) keep their sequence-derived wild call.	PMID:15564462	Mike	manual_review_overrides.csv	active			
D-2d72c11e89a1	manual_override	AB180073	AB180073	classification	cVDPV	Philippines 2001 type-1 cVDPV outbreak (isolate Luzon-01-*/Mindanao-01-*, VP1 3.09-3.53% from Sabin 1). CORRECTION 2026-07-29: this row previously read iVDPV sourced to PMID:12404204 with the note “Taiwan iVDPV; PID patient” -- wrong paper, wrong country, wrong class. The record's own paper is titled “Circulation of type 1 vaccine-derived poliovirus in the Philippines in 2001” (PMID:15564462); circulating, not immunodeficiency-associated. The 12 wild PV1 comparators in the same deposit (AB180058-069) keep their sequence-derived wild call.	PMID:15564462	Mike	manual_review_overrides.csv	active			
D-9f48914671de	manual_override	AB180073	AB180073	classification	iVDPV	superseded by the same registry's later cVDPV call; retained because the migration regenerates from source and would otherwise drop the earlier assertion entirely	PMID:12404204	Mike	manual_review_overrides.csv	superseded			superseded 2026-07-30 by classification=cVDPV (PMID:15564462) in the same registry; carried forward by SUPERSEDED_CARRY_FORWARD so the reversal stays legible
D-029b0540b6d3	manual_override	AF083931	AF083931	classification	iVDPV	Minnesota 7yr iVDPV; XLA patient, prolonged excretion	PMID:18077726	Mike	manual_review_overrides.csv	active			
D-98bfbe81e3c5	manual_override	AF083932	AF083932	classification	iVDPV	Minnesota 7yr iVDPV; XLA patient, prolonged excretion	PMID:18077726	Mike	manual_review_overrides.csv	active			
D-edb676b1e12d	manual_override	AF083933	AF083933	classification	iVDPV	Minnesota 7yr iVDPV; XLA patient, prolonged excretion	PMID:18077726	Mike	manual_review_overrides.csv	active			
D-67e15c2e8c7e	manual_override	AF083934	AF083934	classification	iVDPV	Minnesota 7yr iVDPV; XLA patient, prolonged excretion	PMID:18077726	Mike	manual_review_overrides.csv	active			
D-0ba0927fe814	manual_override	AF083935	AF083935	classification	iVDPV	Minnesota 7yr iVDPV; XLA patient, prolonged excretion	PMID:18077726	Mike	manual_review_overrides.csv	active			
D-76046c1eb29c	manual_override	AF083936	AF083936	classification	iVDPV	Minnesota 7yr iVDPV; XLA patient, prolonged excretion	PMID:18077726	Mike	manual_review_overrides.csv	active			
